Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Book Series Titles,Book Series Titles_Count
,,,,Mathias Pires,2,,,,,,,,,,,INST ECOL BIODIVERSIDAD,1.0,University Of Brasilia Department Of Zoology,1.0,SPRINGER EARTH SYSTEM SCIENCES,1.0,,,,,,,,,,,PRPQ UFMG,1.0,,
,,,,"Fonseca, C.",2,,,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,University Of Brasilia Institute Of Biological Sciences,1.0,SYMMETRY BASEL,1.0,,,,,,,,,,,RESEARCH PRODUCTIVITY GRANT,1.0,,
,,,,"Gennari, Solange M",2,,,,,,,,,,,INSTITUTO GULBENKIAN DE CIENCIA,1.0,University Of Cambridge Department Of Pathology,1.0,ZOOLOGIA,1.0,,,,,,,,,,,RIO BAIA FISHING CLUB,1.0,,
,,,,"dos Reis, Sergio",2,,,,,,,,,,,JOHANNES GUTENBERG UNIVERSITY OF MAINZ,1.0,University Of Cambridge Faculty Of Biology,1.0,ZOOTAXA,1.0,,,,,,,,,,,SACKLER INSTITUTE FOR COMPARATIVE GENOMICS AMNH,1.0,,
,,,,"Chiarello, Adriano Garcia",2,,,,,,,,,,,MUSEU NACL EMILIO GOELDI,1.0,University Of Cambridge School Of The Biological Sciences,1.0,,,,,,,,,,,,,SILVIA ROBERTA CIESLAK,1.0,,
,,,,"Silva, Maria José J",1,,,,,,,,,,,MUSEU PARAENSE EMILIO GOELDI,1.0,University Of Chile Department Of Ecological Sciences,1.0,,,,,,,,,,,,,UFMS GRADUATION PROGRAM IN CONSERVATION ECOLOGY,1.0,,
,,,,"Grelle, Carlos EV",1,,,,,,,,,,,MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN,1.0,University Of Chile Faculty Of Sciences,1.0,,,,,,,,,,,,,UNITED STATES DEPARTMENT OF HEALTH HUMAN SERVICES,1.0,,
,,,,"Pellegrino, Katia Cristina M",1,,,,,,,,,,,NEVADA SYSTEM OF HIGHER EDUCATION NSHE,1.0,University Of Lisbon Centre For Environmental And Marine Studies,1.0,,,,,,,,,,,,,UNITED STATES PUBLIC HEALTH SERVICE,1.0,,
,,,,"Niebuhr, Bernardo Brandão",1,,,,,,,,,,,NSW DEPT ENVIRONM CLIMATE CHANGE,1.0,University Of Lisbon Faculty Of Sciences,1.0,,,,,,,,,,,,,UNIVERSITE DE PROVENCE,1.0,,
,,,,"Araujo, Marcio",1,,,,,,,,,,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1.0,University Of Nevada Reno College Of Science,1.0,,,,,,,,,,,,,UNIVERSITY OF SYDNEY,1.0,,
,,,,"Oliveira, Joao A",1,,,,,,,,,,,SECRETARIA ESTADO MEIO A DS,1.0,University Of Nevada Reno Department Of Biology,1.0,,,,,,,,,,,,,UNIVERSITY OF WISCONSIN,1.0,,
,,,,"Quental, Tiago B",1,,,,,,,,,,,SOUTHERN ILLINOIS UNIVERSITY,1.0,University Of Wisconsin Milwaukee College Of Letters And Science,1.0,,,,,,,,,,,,,UNIVERSITY OF WISCONSIN OSHKOSH FACULTY DEVELOPMENT BOARD,1.0,,
,,,,"Argot, Christine",1,,,,,,,,,,,SOUTHERN ILLINOIS UNIVERSITY SYSTEM,1.0,University Of Wisconsin Milwaukee Department Of Biological Sciences,1.0,,,,,,,,,,,,,VILLUM FONDEN,1.0,,
,,,,"Dickman, Christopher",1,,,,,,,,,,,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Portela, RW",1,,,,,,,,,,,UNITED STATES DEPARTMENT OF AGRICULTURE USDA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Crowther, Mathew",1,,,,,,,,,,,UNIV CATOLICA GOIAS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Bonato, Vinicius",1,,,,,,,,,,,UNIV FED ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Marcili, Arlei",1,,,,,,,,,,,UNIVERSIDAD DE CHILE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Passos, Fernando Camargo",1,,,,,,,,,,,UNIVERSIDADE DE LISBOA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Oliveira-Santos, Luiz Gustavo Rodrigues",1,,,,,,,,,,,UNIVERSIDADE DE SANTO AMARO UNISA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Viveiros de Castro, Ernesto",1,,,,,,,,,,,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Carvalho, Maria Raquel",1,,,,,,,,,,,UNIVERSIDADE DO VALE DO RIO DOS SINOS UNISINOS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Fonseca, Carlos MMS",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Oliveira, Leonardo",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA MARIA UFSM,1.0,,,,,,,,,,,,,,,,,,
,,,,Rasmus Heller,1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO PAULO UNIFESP,1.0,,,,,,,,,,,,,,,,,,
,,,,"Armesto, Juan J",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,1.0,,,,,,,,,,,,,,,,,,
,,,,"de Souza Leite, Melina",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO OESTE DO PARA,1.0,,,,,,,,,,,,,,,,,,
,,,,"LA Monteiro-Filho, Emygdio",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI UFVJM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Labruna, Marcelo B",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO UFRPE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Muñoz Muñoz, Francesc",1,,,,,,,,,,,UNIVERSITY OF BRITISH COLUMBIA,1.0,,,,,,,,,,,,,,,,,,
,,,,"cruz-neto, ariovaldo",1,,,,,,,,,,,UNIVERSITY OF CAMBRIDGE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Marinho-Filho, Jader",1,,,,,,,,,,,UNIVERSITY OF CENTRAL VENEZUELA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Dittel, Jacob",1,,,,,,,,,,,UNIVERSITY OF NEVADA RENO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Loss, Ana Carolina",1,,,,,,,,,,,UNIVERSITY OF SYDNEY,1.0,,,,,,,,,,,,,,,,,,
,,,,Thiago Doria Barral,1,,,,,,,,,,,UNIVERSITY OF WISCONSIN MILWAUKEE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Minervino, Antonio Humberto",1,,,,,,,,,,,UNIVERSITY OF WURZBURG,1.0,,,,,,,,,,,,,,,,,,
