Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Group Authors,Group Authors_Count
,,,,"Medeiros, Rodrigo Pereira",1,,,,,,,,,,,DEPAUL UNIVERSITY,1,The University Of Hong Kong Faculty Of Science,1.0,,,,,,,,,,,,,NATURAL ENVIRONMENT RESEARCH COUNCIL NERC,1.0,,
,,,,"MADEIRA, MARÍA JOSÉ",1,,,,,,,,,,,EBERHARD KARLS UNIVERSITY OF TUBINGEN,1,The University Of Hong Kong School Of Biological Sciences,1.0,,,,,,,,,,,,,PLAZA CALDAS DA IMPERATRIZ RESORT,1.0,,
,,,,"Durand, Jean-Dominique",1,,,,,,,,,,,ECOGEN GMBH,1,The University Of Hong Kong Swire Institute Of Marine Science,1.0,,,,,,,,,,,,,POS GRADUACAO EM BIOLOGIA PARASITARIA IOCFIOCRUZ,1.0,,
,,,,"Pailler, Thierry",1,,,,,,,,,,,FIELD MUSEUM OF NATURAL HISTORY CHICAGO,1,University Of Aberdeen College Of Life Sciences Medicine,1.0,,,,,,,,,,,,,POSTGRADUATE PROGRAM ON PARASITE BIOLOGY IOC FIOCRUZ,1.0,,
,,,,"Neto, Hipolito F Paulino",1,,,,,,,,,,,FUNDACAO CARLOS CHAGAS FILHO AMPARO PESQUISA ESTAD,1,University Of Aberdeen School Of Biological Sciences,1.0,,,,,,,,,,,,,PROCIENCIA UERJ,1.0,,
,,,,"Kuhnen, Vanessa Villanova",1,,,,,,,,,,,FUNDACAO ZOOBOT RIO GRANDE DO SUL,1,University Of Buenos Aires Department Of Ecology Genetics And Evolution,1.0,,,,,,,,,,,,,PROGRAMA DE BOLSAS DE INICIACAO CIENTIFICA DO SANTANDER,1.0,,
,,,,"Passos, Fernando Camargo",1,,,,,,,,,,,INRAE,1,University Of Buenos Aires Faculty Of Exact And Natural Sciences,1.0,,,,,,,,,,,,,PROGRAMA DE INCENTIVOS,1.0,,
,,,,"Campos, Renata C",1,,,,,,,,,,,INST DIVERSIDAD EVOLUC AUSTRAL IDEAUS CONICET,1,University Of Georgia Department Of Genetics,1.0,,,,,,,,,,,,,SANTA CRUZ STATE UNIVERSITY UESC,1.0,,
,,,,"Gregori, Fabio",1,,,,,,,,,,,INST DIVERSIDAD EVOLUT AUSTRAL IDEAUS CONICET,1,University Of Georgia Department Of Plant Biology,1.0,,,,,,,,,,,,,SOCIEDAD ARGENTINA PARA EL ESTUDIO DE LOS MAMIFEROS SAREM,1.0,,
,,,,"Freitas, Thales",1,,,,,,,,,,,INST NACL ENFERMEDADES INFECCIOSAS ADM NACL LABS,1,University Of Georgia Division Of Biological Sciences,1.0,,,,,,,,,,,,,SPANISH GOVERNMENT,1.0,,
