Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
1986.0,1.0,,,"Menezes, Tatiana",2,,,,,,,,,,,COORDENACAO MEIO AMBIENTE ARTERIS SA,1.0,,,GENETICS AND MOLECULAR RESEARCH,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0,,
,,,,"Moreira, Miguel Angelo Martins",2,,,,,,,,,,,FAC FORMACAO PROF UERJ,1.0,,,HEREDITAS,1.0,,,,,,,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA FAPESC,1.0,,
,,,,"FELICIANO, B",2,,,,,,,,,,,FALCO AMBIENTAL CONSULTORIA,1.0,,,INTERNATIONAL JOURNAL OF GENOMICS,1.0,,,,,,,,,,,FUNDACAO DE APOIO A CIENCIA E TECNOLOGIA DO ESPIRITO SANTO FAPES,1.0,,
,,,,"Lopez, Camilo",2,,,,,,,,,,,FDN NACL SAUDE,1.0,,,JOURNAL OF ADVANCED ZOOLOGY,1.0,,,,,,,,,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0,,
,,,,"Christoff, Alexandre Uarth",2,,,,,,,,,,,FIOCRUZ MATA ATLANTICA FIOCRUZ,1.0,,,JOURNAL OF BIOGEOGRAPHY,1.0,,,,,,,,,,,FUNDAO DE AMPARO PESQUISA E INOVAO DO ESPRITO SANTO,1.0,,
,,,,"Seuanez, HN",2,,,,,,,,,,,FIOCRUZ RESEARCH CENTER RENE RACHOU,1.0,,,JOURNAL OF HEREDITY,1.0,,,,,,,,,,,FUNDO DE APOIO A CIENCIA E TECNOLOGIA DO MUNICIPIO DE VITORIA DO ESPIRITO SANTO FACITEC,1.0,,
,,,,"Carvalho, Renner Philipe Rodrigues",2,,,,,,,,,,,INEI ANLIS DR CG MALBRAN,1.0,,,JOURNAL OF MAMMALIAN EVOLUTION,1.0,,,,,,,,,,,FUNDO DE APOIO A CIENCIA E TECNOLOGIA DO MUNICIPIO DE VITORIA FACITEC,1.0,,
,,,,"Finotti, Ricardo",2,,,,,,,,,,,INST PESQUISAS CANANEIA IPEC,1.0,,,JOURNAL OF MORPHOLOGY,1.0,,,,,,,,,,,GOVERNMENT PROGRAM MORPHOFUNCTIONAL ADAPTATIONS AND TAXONOMIC DIVERSITY OF ARTHROPODS PARASITIZING TERRESTRIAL VERTEBRATES,1.0,,
,,,,"Maestri, Renan",2,,,,,,,,,,,INSTITUTE BIOMED SCIENCE UNIVERSITY SAO PAULO,1.0,,,JOURNAL OF PARASITOLOGY,1.0,,,,,,,,,,,GRADUATE PROGRAM IN BIODIVERSITY AND HEALTH OF THE OSWALDO CRUZ INSTITUTE PGBS IOC FIOCRUZ,1.0,,
,,,,"Figueiredo, Marcos S. L.",2,,,,,,,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,1.0,,,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ,1.0,,
,,,,"Viana, Arabela Guedes de Azevedo",2,,,,,,,,,,,INSTITUTO FEDERAL DO ESPIRITO SANTO IFES,1.0,,,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ FUNDACAO OSWALDO CRUZ,1.0,,
,,,,"Andrade-Silva, Beatriz Elise",2,,,,,,,,,,,IPE,1.0,,,REVISTA BRASILEIRA DE ZOOLOGIA,1.0,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1.0,,
