Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
1994.0,2.0,,,"Silva, Thiago P.",4,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,2,Federal University Of Parana Biological Sciences Sector,1.0,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,Int Inst Ecology,1.0,,,,,FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,1.0,,,,,,
1992.0,3.0,,,"Malta, Kássia K.",4,,,,,,,,,,,UNIVERSIDADE FEDERAL DO PARANA,2,Federal University Of Parana Department Of Zoology,1.0,ANNALES DE PARASITOLOGIE HUMAINE ET COMPAREE,1.0,,,,,Int Laboratory Zoonoses,1.0,,,,,FEDERAL UNIVERSITY OF OURO PRETO,1.0,,,,,,
1991.0,2.0,,,"Melo, Rossana C. N.",4,,,,,,,,,,,UNIVERSITY OF BELGRADE,2,Institute For Biological Research Sinisa Stankovic,1.0,ANNALS OF TROPICAL MEDICINE AND PARASITOLOGY,1.0,,,,,KnowledgeWorks Global Ltd-KGL,1.0,,,,,FEDERAL UNIVERSITY OFJUIZ DE FORA UFJF,1.0,,,,,,
1989.0,1.0,,,"Fernandez, Fernando A. S.",3,,,,,,,,,,,UNIVERSITY OF NEW MEXICO,2,Institute For Biological Research Sinisa Stankovic Department Of Genetic Research,1.0,AUSTRAL ECOLOGY,1.0,,,,,Maik Nauka-Interperiodica Publ,1.0,,,,,FIOCRUZ ATLANTIC FOREST CAMPUS,1.0,,,,,,
1988.0,1.0,,,"Notarnicola, Juliana",3,,,,,,,,,,,UNIVERSITY OF WARWICK,2,Institute Of Biological Sciences,1.0,BIOLOGICAL CONSERVATION,1.0,,,,,PENSOFT PUBL,1.0,,,,,FIOCRUZ PAPES,1.0,,,,,,
1987.0,2.0,,,"Navone, Graciela T.",3,,,,,,,,,,,ABERYSTWYTH UNIVERSITY,1,Institute Of Immunological And Physiopathological Studies,1.0,BIOMEDICAL LETTERS,1.0,,,,,Peerj Inc,1.0,,,,,FUNDACAO DE AMPARO A CIENCIA E TECNOLOGIA DO ESTADO DE PERNAMBUCO FACEPE,1.0,,,,,,
1986.0,2.0,,,"ERS, Lemos",3,,,,,,,,,,,AIN SHAMS UNIVERSITY,1,Minnesota State University Mankato College Of Science Engineering And Technology,1.0,BRAZILIAN JOURNAL OF BIOLOGY,1.0,,,,,Pensoft Publishers,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA DO ESTADO DA BAHIA FAPESB,1.0,,,,,,
1984.0,1.0,,,"Silva-Souza, Neuton",3,,,,,,,,,,,ALLIANCE,1,Minnesota State University Mankato Department Of Biological Sciences,1.0,BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,1.0,,,,,ROYAL SOC MEDICINE SERVICES LTD,1.0,,,,,FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESPIRITO SANTO FAPES,1.0,,,,,,
1983.0,1.0,,,"Ferguson-Smith, MA",3,,,,,,,,,,,AMERICAN MUSEUM OF NATURAL HISTORY AMNH,1,National University Of La Plata Faculty Of Exact Sciences,1.0,CANADIAN JOURNAL OF ZOOLOGY,1.0,,,,,"Soc Brasileira Zoologia, Univ Federal Parana",1.0,,,,,FUNDACAO DE APOIO A PESQUISA DO DISTRITO FEDERAL FAPDF,1.0,,,,,,
1981.0,1.0,,,"Negrao-Correa, D",3,,,,,,,,,,,AMERICAN UNIVERSITY CAIRO,1,National University Of La Plata Faculty Of Natural Science And Museum,1.0,CARYOLOGIA,1.0,,,,,Soc Systematic Zoology,1.0,,,,,FUNDACAO GRUPO BOTICARIO DE PROTECAO A NATUREZA,1.0,,,,,,
1980.0,2.0,,,"Brito, Maria Edileuza Felinto de",3,,,,,,,,,,,ASSOC PESQUISA CONSERVACAO AMBIENTES AQUAT,1,Oklahoma Museum Of Natural History,1.0,CIENCIA RURAL,1.0,,,,,Swets Zeitlinger Publishers,1.0,,,,,FUNDAO CARLOS CHAGAS FILHO DE AMPARO PESQUISA DO ESTADO DO RIO DE JANEIRO,1.0,,,,,,
1979.0,1.0,,,"Araujo Camelo, Genil Mororo",3,,,,,,,,,,,BICHO MATO MEIO AMBIENTE LTDA,1,Purdue University College Of Science,1.0,COMPARATIVE CYTOGENETICS,1.0,,,,,Univ Federal Santa Maria,1.0,,,,,IDEA WILD,1.0,,,,,,
1977.0,1.0,,,"Costa-Neto, S. F.",3,,,,,,,,,,,BIOMED CTR,1,Purdue University Department Of Biological Sciences,1.0,ECOLOGY,1.0,,,,,Univ Studi Firenze,1.0,,,,,INSTITUTO BIOATLANTICA,1.0,,,,,,
1973.0,1.0,,,"Simões, R.O.",3,,,,,,,,,,,BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL BBSRC,1,State University Of Ceara Centre Of Health Science,1.0,ECOLOGY AND EVOLUTION,1.0,,,,,"Wildlife Disease Assoc, Inc",1.0,,,,,INSTITUTO NACIONAL DE MEDICINA TROPICAL,1.0,,,,,,
1966.0,1.0,,,"Goncalves, M. M. L.",3,,,,,,,,,,,CAIRO UNIVERSITY,1,Texas Tech University College Of Arts And Sciences,1.0,GENES,1.0,,,,,,,,,,,INSTITUTO OSWALDO CRUZ FIOCRUZ RJ,1.0,,,,,,
1956.0,1.0,,,"SILVA, JEFERSON KELVIN ALVES DE OLIVEIRA KELVIN ALVES",3,,,,,,,,,,,CCS,1,Texas Tech University Department Of Biological Sciences,1.0,GENETICA,1.0,,,,,,,,,,,INTA,1.0,,,,,,
,,,,"Malygin, Vasily M",3,,,,,,,,,,,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,1,The University Of Texas Medical Branch At Galveston Department Of Pathology,1.0,HELMINTHOLOGIA,1.0,,,,,,,,,,,IOC,1.0,,,,,,
,,,,"Martinez, E. M.",3,,,,,,,,,,,CONCREMAT AMBIENTAL,1,The University Of Texas Medical Branch At Galveston School Of Medicine,1.0,INTERNATIONAL JOURNAL FOR PARASITOLOGY,1.0,,,,,,,,,,,IOC FIOCRUZ,1.0,,,,,,
,,,,"Peralta, Jose M.",3,,,,,,,,,,,COORDENACAO MEIO AMBIENTE ARTERIS SA,1,Universidade De Sao Paulo Departamento De Analises Clinicas Toxicologicas E Bromatologicas,1.0,INTERNATIONAL JOURNAL OF ZOONOSES,1.0,,,,,,,,,,,KENYA MEDICAL RESEARCH INSTITUTE KEMRI,1.0,,,,,,
,,,,"Percequillo, Alexandre",3,,,,,,,,,,,CTR CONSERVACAO MANEJO FAUNA CAATINGA CEMAFAUNA,1,Universidade De Sao Paulo Departamento De Biologia Celular E Molecular E Bioagentes Patogenicos,1.0,JOURNAL OF ADVANCED RESEARCH,1.0,,,,,,,,,,,LEMANN FOUNDATION HARVARD UNIVERSITY LEMANN BRAZIL RESEARCH FUND,1.0,,,,,,
,,,,"Varella, Karina",3,,,,,,,,,,,CTR ESTUDIOS PARASITOL VECTORES CONICET UNLP,1,Universidade De Sao Paulo Departamento De Parasitologia,1.0,JOURNAL OF NATURAL HISTORY,1.0,,,,,,,,,,,MINISTERIO DA SAUDE,1.0,,,,,,
,,,,"Bonvicino, Cibele R.",3,,,,,,,,,,,EBERHARD KARLS UNIVERSITY OF TUBINGEN,1,Universidade De Sao Paulo Faculdade De Ciencias Farmaceuticas De Ribeirao Preto,1.0,JOURNAL OF TROPICAL MEDICINE AND HYGIENE,1.0,,,,,,,,,,,MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGICAL DEVELOPMENT REPUBLIC OF SERBIA,1.0,,,,,,
,,,,"Shaw, Jeffrey Jon",3,,,,,,,,,,,EGYPTIAN KNOWLEDGE BANK EKB,1,Universidade De Sao Paulo Faculdade De Filosofia Ciencias E Letras De Ribeirao Preto,1.0,JOURNAL OF WILDLIFE DISEASES,1.0,,,,,,,,,,,MOCONA,1.0,,,,,,
,,,,"Battesti, Darci Moraes Barros",3,,,,,,,,,,,FALCO AMBIENTAL CONSULTORIA,1,Universidade De Sao Paulo Faculdade De Medicina De Ribeirao Preto,1.0,JOURNAL OF ZOOLOGY,1.0,,,,,,,,,,,MS,1.0,,,,,,
,,,,"Vieira, Marcus",3,,,,,,,,,,,FIOCRUZ MATA ATLANTICA FIOCRUZ,1,University Of Bari Department Of Veterinary Medicine,1.0,LABORATORY ANIMALS,1.0,,,,,,,,,,,NATIONAL UNIVERSITY OF LA PLATA,1.0,,,,,,
,,,,"Magnusson, William Ernest",3,,,,,,,,,,,FUNDACAO CARLOS CHAGAS FILHO AMPAROA PESQUISA ESTA,1,University Of Belgrade Faculty Of Biology,1.0,MICROBES AND INFECTION,1.0,,,,,,,,,,,OSWALDO CRUZ INSTITUTE FIOCRUZ,1.0,,,,,,
,,,,"Dias, Felipe Ferraz",3,,,,,,,,,,,FUNDAGAO OSWALDO CRUZ,1,University Of Bonn Department Of Biology,1.0,MICROORGANISMS,1.0,,,,,,,,,,,PAPES III FIOCRUZ,1.0,,,,,,
,,,,"De-Simone, Salvatore Giovanni",2,,,,,,,,,,,INH MPPS,1,University Of Bonn Faculty Of Mathematics And Natural Sciences,1.0,MOLECULAR ECOLOGY,1.0,,,,,,,,,,,PDA MMA,1.0,,,,,,
,,,,"Vujošević, Mladen",2,,,,,,,,,,,INST BIOL UFRJ,1,University Of Bonn Institute Of Zoology,1.0,MOLECULAR GENETICS AND GENOMICS,1.0,,,,,,,,,,,PLATAFORMA DE APOIO A PESQUISA E INOVACAO PAPI IOC FIOCRUZ,1.0,,,,,,
,,,,"Loker, Eric S.",2,,,,,,,,,,,INST PESQUISAS CANANEIA,1,University Of Oxford Department Of Zoology,1.0,NATUREZA CONSERVACAO,1.0,,,,,,,,,,,PLATAFORMA DE MICROSCOPIA ELETRONICA DO INSTITUTO OSWALDO CRUZ IOC,1.0,,,,,,
,,,,"Rocha-Barbosa, Oscar",2,,,,,,,,,,,INST RESGATANDO VERDE,1,University Of Oxford Mathematical Physical And Life Sciences Division,1.0,NEGLECTED TROPICAL DISEASES,1.0,,,,,,,,,,,PLAZA CALDAS DA IMPERATRIZ RESORT,1.0,,,,,,
