Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Editors,Editors_Count
,,,,"Cobra, Priscilla",1,,,,,,,,,,,UNIVERSIDAD DEL VALLE,1.0,,,,,,,,,,,,,,,,,,
,,,,"Weisbecker, Vera",1,,,,,,,,,,,UNIVERSIDAD NACIONAL DE TUCUMAN,1.0,,,,,,,,,,,,,,,,,,
,,,,"Possingham, Hugh",1,,,,,,,,,,,UNIVERSIDADE DE BRASILIA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Leiner, Natalia",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Ramírez-Chaves, Héctor E.",1,,,,,,,,,,,UNIVERSIDADE ESTADUAL DE GOIAS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Jansa, Sharon",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DA PARAIBA,1.0,,,,,,,,,,,,,,,,,,
,,,,"ALLEN, JW",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE AMAZONAS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Abdala, Fernando",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE LAVRAS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Povill, Cintia",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE MATO GROSSO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Ben M'Barek, S.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DE SAO CARLOS,1.0,,,,,,,,,,,,,,,,,,
,,,,"Leite, Yuri L. R.",1,,,,,,,,,,,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1.0,,,,,,,,,,,,,,,,,,
,,,,"Bicudo, Wilken",1,,,,,,,,,,,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO UFRRJ,1.0,,,,,,,,,,,,,,,,,,
,,,,"Palma, Eduardo",1,,,,,,,,,,,UNIVERSITY COLLEGE LONDON,1.0,,,,,,,,,,,,,,,,,,
,,,,"BOWMAKER, J",1,,,,,,,,,,,UNIVERSITY OF FLORIDA,1.0,,,,,,,,,,,,,,,,,,
,,,,"Butcher, Michael",1,,,,,,,,,,,UNIVERSITY OF HELSINKI,1.0,,,,,,,,,,,,,,,,,,
,,,,"Carvalho, Rafael",1,,,,,,,,,,,UNIVERSITY OF LONDON,1.0,,,,,,,,,,,,,,,,,,
,,,,"Beyer, Hawthorne L",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN,1.0,,,,,,,,,,,,,,,,,,
,,,,"Hughes, Terry P",1,,,,,,,,,,,UNIVERSITY OF MICHIGAN SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Cartmill, MR",1,,,,,,,,,,,UNIVERSITY OF MINNESOTA SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Dalloz, Matheus Fernandes",1,,,,,,,,,,,UNIVERSITY OF MINNESOTA TWIN CITIES,1.0,,,,,,,,,,,,,,,,,,
,,,,"Cunha, Heitor Morais",1,,,,,,,,,,,UNIVERSITY OF NEBRASKA LINCOLN,1.0,,,,,,,,,,,,,,,,,,
,,,,"Eisenberg, John",1,,,,,,,,,,,UNIVERSITY OF NEBRASKA SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"de Freitas, Tatiana P. T.",1,,,,,,,,,,,UNIVERSITY OF NEW MEXICO,1.0,,,,,,,,,,,,,,,,,,
,,,,"Rodger, Jennifer",1,,,,,,,,,,,UNIVERSITY OF NEW SOUTH WALES SYDNEY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Fonseca, C.",1,,,,,,,,,,,UNIVERSITY OF QUEENSLAND,1.0,,,,,,,,,,,,,,,,,,
,,,,"da Silva Duarte, Leandro",1,,,,,,,,,,,UNIVERSITY OF SALFORD,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gemballa, Sven",1,,,,,,,,,,,UNIVERSITY OF SYDNEY,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gerard, Herve C.",1,,,,,,,,,,,UNIVERSITY OF WESTERN AUSTRALIA,1.0,,,,,,,,,,,,,,,,,,
,,,,"D'Andrea, Paulo S.",1,,,,,,,,,,,UNIVERSITY OF WISCONSIN MADISON,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gruss, Laura T.",1,,,,,,,,,,,UNIVERSITY OF WISCONSIN SYSTEM,1.0,,,,,,,,,,,,,,,,,,
,,,,"Gonzalez, Baltazar",1,,,,,,,,,,,UNIVERSITY OF WITWATERSRAND,1.0,,,,,,,,,,,,,,,,,,
,,,,"Foley, William John",1,,,,,,,,,,,UNIVERSITY OF ZURICH,1.0,,,,,,,,,,,,,,,,,,
