Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count,Book Series Titles,Book Series Titles_Count,Editors,Editors_Count
1995.0,8.0,,,"Lindsay, David S",5,Anthropology,4.0,1.104 Virology - General,1.0,3.35.33 Avian Ecology,3.0,,,,,UNIVERSIDADE FEDERAL DO PARA,6,The Ohio State University College Of Medicine,2,MAMMALIAN BIOLOGY,4,,,HONDURAS,2.0,Inst Medicina Tropical Sao Paulo,3,Biophysics,4.0,,,SENACYT,2,,,,,,
1994.0,8.0,,,"LANDSMEER, JMF",4,Biochemical Research Methods,4.0,1.111 Liver & Colon Cancer,1.0,3.35.693 Primate Behavior,3.0,,,,,EL COLEGIO DE LA FRONTERA SUR ECOSUR,5,The Ohio State University Department Of Biomedical Education And Anatomy,2,NEUROSCIENCE,4,,,HUNGARY,2.0,KLUWER ACADEMIC PUBL,3,Developmental Biology,4.0,,,UNIVERSIDAD DE ANTIOQUIA,2,,,,,,
1993.0,4.0,,,"Mangia, Regina H. R.",4,Biophysics,4.0,1.120 Inflammatory Bowel Diseases & Infections,1.0,1.137.868 Sleep And Orexin,2.0,,,,,FED UNIV RIO DE JANEIRO,5,Universidade De Sao Paulo Faculdade De Medicina De Ribeirao Preto,2,PARASITOLOGY,4,,,ITALY,2.0,"Mary Ann Liebert, Inc",3,Plant Sciences,4.0,,,UNIVERSITY OF ANTIOQUIA,2,,,,,,
1992.0,7.0,,,"Perales, Jonas Enrique A.",4,Developmental Biology,4.0,1.125 Hepatitis,1.0,1.163.1943 Parasitic Zoonoses,2.0,,,,,INSTITUTE NACIONAL DE PESQUISAS DA AMAZONIA,5,University Of Antioquia Faculty Of Exact And Natural Sciences,2,REVISTA COLOMBIANA DE CIENCIAS PECUARIAS,4,,,WALES,2.0,Soc Natl Protection Nature Acclimatation France,3,Chemistry,3.0,,,AGENCIA DE PROMOCION CIENTIFICA Y TECNICA ARGENTINA,1,,,,,,
1991.0,8.0,,,"OSWALDOCRUZ, E",4,Plant Sciences,4.0,1.134 Trauma & Emergency Surgery,1.0,1.163.2363 Trichinella Spiralis,2.0,,,,,INSTITUTO DE ECOLOGIA MEXICO,5,University Of Antioquia Faculty Of Medicine,2,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,4,,,BELGIUM,1.0,Soc Protozoologists,3,Microscopy,3.0,,,AMAZONAS RESEARCH FOUNDATION FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS FAPEAM,1,,,,,,
1990.0,5.0,,,"VARGAS, CLAUDIA D",4,Microscopy,3.0,1.154 Assisted Ventilation,1.0,1.195.1096 Gastrin/cck Functions,2.0,,,,,SMITHSONIAN INSTITUTION,5,University Of Chile School Of Medicine,2,TROPICAL AGRICULTURE,4,,,BELIZE,1.0,Texas Acad Sci,3,Dentistry Oral Surgery Medicine,2.0,,,AMERICAN SOCIETY OF MAMMALOGISTS,1,,,,,,
1989.0,6.0,,,"CAMARGO, LMA",4,Ornithology,3.0,1.204 Molecular & Cell Biology - Immunotherapy,1.0,1.203.1430 Oligodendrocyte Myelination,2.0,,,,,UNIVERSIDAD DE LOS ANDES COLOMBIA,5,University Of Costa Rica Faculty Of Microbiology,2,VETERINARY SCIENCES,4,,,FED REP GER,1.0,ACTA CIENTIFICA VENEZOLANA,2,Forestry,2.0,,,ANID BECAS SCHOLARSHIP PROGRAM DOCTORADO NACIONAL,1,,,,,,
1988.0,3.0,,,"Jaimes-Duenez, Jeiczon",4,Dentistry Oral Surgery Medicine,2.0,1.218 Autonomic Regulation,1.0,1.225.2074 G6pd Deficiency,2.0,,,,,UNIVERSIDAD DE ORIENTE VENEZUELA,5,University Of East Anglia Faculty Of Science,2,ANATOMY AND EMBRYOLOGY,3,,,GUYANA,1.0,ASSN TROP BIOL,2,Paleontology,2.0,,,ANPCYT,1,,,,,,
1987.0,3.0,,,"Labruna, Marcelo B",4,Forestry,2.0,1.23 Antibiotics & Antimicrobials,1.0,1.228.994 Viral Hemorrhagic Fevers,2.0,,,,,UNIVERSIDAD DEL ROSARIO,5,University Of East Anglia School Of Environmental Sciences,2,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B BIOCHEMISTRY MOLECULAR BIOLOGY,3,,,ISRAEL,1.0,Amer Chemical Soc,2,Archaeology,1.0,,,ARAUCARIA FOUNDATION FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT,1,,,,,,
1986.0,6.0,,,"Atramentowicz, M",4,Paleontology,2.0,"1.25 Molecular & Cell Biology - Cancer, Autophagy & Apoptosis",1.0,1.5.393 Spiking Neural Networks,2.0,,,,,UNIVERSIDAD NACIONAL DE COLOMBIA,5,University Of Florida College Of Medicine,2,EUROPEAN JOURNAL OF BIOCHEMISTRY,3,,,PEOPLES R CHINA,1.0,Amer J Epidemiology,2,Biotechnology Applied Microbiology,1.0,,,AREA METROPOLITANA DEL VALLE DE ABURRA AMVA,1,,,,,,
1985.0,10.0,,,"Calzada, Jose E.",4,Psychology,2.0,1.49 Dentistry & Oral Medicine,1.0,1.5.941 Oxytocin And Vasopressin,2.0,,,,,UNIVERSIDADE ESTADUAL DE CAMPINAS,5,University Of Florida Department Of Entomology And Nematology,2,INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE,3,,,POLAND,1.0,Amer Midland Naturalist,2,Dermatology,1.0,,,AUSTRALIAN RESEARCH COUNCIL,1,,,,,,
