Publication Years,Publication Years_Count,Document Types,Document Types_Count,Researcher Profiles,Researcher Profiles_Count,Web of Science Categories,Web of Science Categories_Count,Citation Topics Meso,Citation Topics Meso_Count,Citation Topics Micro,Citation Topics Micro_Count,Sustainable Development Goals,Sustainable Development Goals_Count,Web of Science Index,Web of Science Index_Count,Affiliations,Affiliations_Count,Affiliation with Department,Affiliation with Department_Count,Publication Titles,Publication Titles_Count,Languages,Languages_Count,Countries/Regions,Countries/Regions_Count,Publishers,Publishers_Count,Research Areas,Research Areas_Count,Open Access,Open Access_Count,Funding Agencies,Funding Agencies_Count,Conference Titles,Conference Titles_Count
,,,,"de Souza, William Marciel",3,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA,2,Universidade De Sao Paulo Faculdade De Medicina De Ribeirao Preto,1.0,JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,1.0,,,,,,,,,,,DEUTSCHER AKADEMISCHER AUSTAUSCH DIENST DAAD,1,,
,,,,"LIMA, Albertina Pimentel",3,,,,,,,,,,,UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2,University Of Aveiro Department Of Biology,1.0,JOURNAL OF PARASITOLOGY,1.0,,,,,,,,,,,ESECAE,1,,
,,,,"Motta-Junior, José Carlos",2,,,,,,,,,,,UNIVERSITY OF WARWICK,2,University Of Bern Department Of Infectious Diseases And Pathobiology,1.0,MAMMAL RESEARCH,1.0,,,,,,,,,,,EUROPEAN SOCIAL FUND COMPREHENSIVE DEVELOPMENT FOR IMPLEMENTING SMART SPECIALIZATION STRATEGIES AT THE UNIVERSITY OF PECS,1,,
,,,,"Rosalino, Luís Miguel",2,,,,,,,,,,,72 BIMTZ,1,University Of Bern Vetsuisse Faculty,1.0,MEMORIAS DO INSTITUTO OSWALDO CRUZ,1.0,,,,,,,,,,,FACEPE FOUNDATION FOR SCIENCE AND TECHNOLOGY OF PERNAMBUCO,1,,
,,,,"Sabino-Santos, Gilberto GSSJ",2,,,,,,,,,,,AGENCIA NACL VIGILANCIA SANITARIA,1,University Of Brasilia Faculty Of Medicine,1.0,MICROBES AND INFECTION,1.0,,,,,,,,,,,FEDERAL RESEARCH COUNCIL CAPES BRAZIL,1,,
,,,,"Moreira, Janio C",2,,,,,,,,,,,AUTONOMOUS UNIVERSITY OF BARCELONA,1,University Of Buenos Aires Department Of Ecology Genetics And Evolution,1.0,MICROORGANISMS,1.0,,,,,,,,,,,FINANCIADORA DE INOVACAO E PESQUISA FINEP,1,,
,,,,"Labruna, Marcelo B",2,,,,,,,,,,,CAIPORA COOPERAT CONSERVACAO NAT,1,University Of Buenos Aires Faculty Of Exact And Natural Sciences,1.0,PARASITES VECTORS,1.0,,,,,,,,,,,FINATEC,1,,
,,,,"Amorim, Luana Evelyn de Oliveira",2,,,,,,,,,,,CICYITP CONICET PROV ER UADER,1,University Of Cambridge Department Of Veterinary Medicine,1.0,PARASITOLOGY RESEARCH,1.0,,,,,,,,,,,FIOCRUZ,1,,
,,,,"Cardoso, Thiago",2,,,,,,,,,,,CNPQ,1,University Of Cambridge School Of The Biological Sciences,1.0,PATHOGENS,1.0,,,,,,,,,,,FIOCRUZ ATLANTIC FOREST CAMPUS,1,,
,,,,"Brandão-Filho, Sinval Pinto",2,,,,,,,,,,,COLL SCH AMAZON ESAMAZ,1,University Of Lisbon Centre For Environmental And Marine Studies,1.0,PESQUISA VETERINARIA BRASILEIRA,1.0,,,,,,,,,,,FIP PUC MINAS,1,,
,,,,"Fumagalli, Marcilio",2,,,,,,,,,,,COMPLUTENSE UNIVERSITY OF MADRID,1,University Of Lisbon Faculty Of Sciences,1.0,PUBLICACION ELECTRONICA DE LA ASOCIACION PALEONTOLOGICA ARGENTINA,1.0,,,,,,,,,,,FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF BAHIA,1,,
,,,,"Lemos, Hudson",2,,,,,,,,,,,CTR CONTROLE ZOONOSES UBERLANDIA,1,University Of Pecs Faculty Of Sciences,1.0,REPRODUCTION FERTILITY AND DEVELOPMENT,1.0,,,,,,,,,,,FUNDACAO AMAZONIA DE AMPARO A ESTUDOS E PESQUISAS FAPESPA,1,,
